,Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model.Year,Origin
253,fiesta,honda,36.1,4,98,66,1800,14.4,78,American
256,civic cvcc,honda,36.1,4,91,60,1800,16.4,78,Japanese
262,fairmont (auto),honda,20.2,6,200,85,2965,15.8,78,American
263,fairmont (man),honda,25.1,4,140,88,2720,15.4,78,American
272,futura,honda,18.1,8,302,139,3205,11.2,78,American
275,corona,honda,27.5,4,134,95,2560,14.2,78,Japanese
278,celica gt liftback,honda,21.1,4,134,95,2515,14.8,78,Japanese
287,accord lx,honda,29.5,4,98,68,2135,16.6,78,Japanese
290,fairmont 4,mercedes,22.3,4,140,88,2890,17.3,79,American
294,ltd landau,mercedes,17.6,8,302,129,3725,13.4,79,American
298,country squire (sw),mercedes,15.5,8,351,142,4054,14.3,79,American
305,300d,toyota,25.4,5,183,77,3530,20.1,79,European
318,corolla tercel,toyota,38.1,4,89,60,1968,18.8,80,Japanese
322,fairmont,toyota,26.4,4,140,88,2870,18.1,80,American
326,corona liftback,toyota,29.8,4,134,90,2711,15.5,80,Japanese
329,corolla,toyota,32.2,4,108,75,2265,15.2,80,Japanese
336,240d,toyota,30,4,146,67,3250,21.8,80,European
337,civic 1500 gl,toyota,44.6,4,91,67,1850,13.8,80,Japanese
345,accord,toyota,32.4,4,107,72,2290,17,80,Japanese
351,starlet,toyota,39.1,4,79,58,1755,16.9,81,Japanese
353,civic 1300,toyota,35.1,4,81,60,1760,16.1,81,Japanese
356,tercel,toyota,37.7,4,89,62,2050,17.3,81,Japanese
359,escort 4w,toyota,34.4,4,98,65,2045,16.2,81,American
360,escort 2h,toyota,29.9,4,98,65,2380,20.7,81,American
363,prelude,toyota,33.7,4,107,75,2210,14.4,81,Japanese
364,corolla,toyota,32.4,4,108,75,2350,16.8,81,Japanese
370,cressida,toyota,25.4,6,168,116,2900,12.6,81,Japanese
374,granada gl,toyota,20.2,6,200,88,3060,17.1,81,American
382,fairmont futura,toyota,24,4,140,92,2865,16.4,82,American
390,accord,toyota,36,4,107,75,2205,14.5,82,Japanese
391,corolla,toyota,34,4,108,70,2245,16.9,82,Japanese
392,civic,toyota,38,4,91,67,1965,15,82,Japanese
393,civic (auto),toyota,32,4,91,67,1965,15.7,82,Japanese
398,granada l,toyota,22,6,232,112,2835,14.7,82,American
399,celica gt,toyota,32,4,144,96,2665,13.9,82,Japanese
402,mustang gl,toyota,27,4,140,86,2790,15.6,82,American
405,ranger,toyota,28,4,120,79,2625,18.6,82,American
